epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,567.718,0.96121,0.63978,0.94848,0.92971,0.81351,0.86655,0.57573,0.90852,0.93169,0.84125,0.00020909,0.00020909,0.00020909
84,575.552,0.92681,0.60719,0.93437,0.93392,0.81482,0.8676,0.57087,0.92075,0.87483,0.8483,0.000198091,0.000198091,0.000198091
85,581.884,0.93448,0.62096,0.94387,0.94198,0.81315,0.86748,0.56945,0.92715,0.83842,0.84917,0.000187092,0.000187092,0.000187092
86,589.602,0.9146,0.60539,0.94001,0.91517,0.8201,0.86301,0.56945,0.93823,0.84549,0.85558,0.000176094,0.000176094,0.000176094
87,595.956,0.89945,0.59695,0.93349,0.91827,0.82898,0.86828,0.56951,0.92171,0.8464,0.84853,0.000165095,0.000165095,0.000165095
88,603.735,0.92253,0.6098,0.93731,0.92333,0.81532,0.8651,0.56704,0.92186,0.83869,0.85192,0.000154096,0.000154096,0.000154096
89,610.097,0.90492,0.60503,0.93116,0.91123,0.82977,0.86271,0.56536,0.92272,0.83223,0.84919,0.000143097,0.000143097,0.000143097
90,617.853,0.91533,0.6018,0.92757,0.92675,0.82045,0.86482,0.5785,0.91869,0.82978,0.84798,0.000132098,0.000132098,0.000132098
91,626.706,0.87459,0.58045,0.91074,0.91736,0.82294,0.8592,0.57602,0.92793,0.91009,0.85305,0.000121099,0.000121099,0.000121099
92,633.35,0.85439,0.55306,0.92094,0.92115,0.81943,0.86209,0.57685,0.9262,0.94044,0.85381,0.0001101,0.0001101,0.0001101
93,640.139,0.81788,0.52377,0.89776,0.93795,0.8121,0.86107,0.56938,0.92064,1.00762,0.85828,9.91012e-05,9.91012e-05,9.91012e-05
94,646.616,0.8091,0.52616,0.90273,0.91487,0.82362,0.86372,0.56854,0.92589,0.98445,0.85523,8.81023e-05,8.81023e-05,8.81023e-05
95,653.111,0.81473,0.52669,0.8982,0.91456,0.81773,0.86391,0.56876,0.92456,0.94554,0.85606,7.71034e-05,7.71034e-05,7.71034e-05
96,659.821,0.81371,0.51892,0.89766,0.92883,0.81069,0.86202,0.57319,0.92433,0.93676,0.85578,6.61045e-05,6.61045e-05,6.61045e-05
97,666.066,0.78913,0.50567,0.89571,0.94351,0.80277,0.86215,0.56895,0.92203,0.93181,0.85281,5.51056e-05,5.51056e-05,5.51056e-05
98,673.112,0.79534,0.51181,0.88881,0.92025,0.81764,0.86416,0.56825,0.9243,0.94726,0.85267,4.41067e-05,4.41067e-05,4.41067e-05
99,679.274,0.79108,0.51268,0.8956,0.92328,0.81594,0.86552,0.57268,0.92477,0.93779,0.8518,3.31078e-05,3.31078e-05,3.31078e-05
100,686.48,0.79915,0.51418,0.89404,0.92695,0.81276,0.86159,0.57622,0.92144,0.93582,0.85155,2.21089e-05,2.21089e-05,2.21089e-05
